Timestamp,Frame,Count,FPS,Avg_Confidence
2025-12-29 15:51:38.705,218,2,44.3,0.61
2025-12-29 15:51:38.754,219,1,41.5,0.42
2025-12-29 15:51:38.800,220,0,42.0,0.0
2025-12-29 15:51:38.848,221,1,44.7,0.44
2025-12-29 15:51:38.889,222,2,45.7,0.44
2025-12-29 15:51:38.922,223,0,69.2,0.0
2025-12-29 15:51:38.958,224,0,52.5,0.0
2025-12-29 15:51:39.079,225,0,50.0,0.0
2025-12-29 15:51:39.126,226,4,44.8,0.48
2025-12-29 15:51:39.171,227,2,38.5,0.43
2025-12-29 15:51:39.214,228,1,49.2,0.46
2025-12-29 15:51:39.263,229,0,44.9,0.0
2025-12-29 15:51:39.313,230,0,57.0,0.0
2025-12-29 15:51:39.368,231,0,38.7,0.0
2025-12-29 15:51:39.421,232,0,47.2,0.0
2025-12-29 15:51:39.470,233,0,45.1,0.0
2025-12-29 15:51:39.522,234,0,49.4,0.0
2025-12-29 15:51:39.563,235,2,47.5,0.51
2025-12-29 15:51:39.594,236,0,75.1,0.0
2025-12-29 15:51:39.630,237,0,62.0,0.0
2025-12-29 15:51:39.679,238,0,49.7,0.0
2025-12-29 15:51:39.720,239,0,56.6,0.0
2025-12-29 15:51:39.792,240,2,55.2,0.44
2025-12-29 15:51:39.834,241,1,49.7,0.46
2025-12-29 15:51:39.874,242,0,69.7,0.0
2025-12-29 15:51:39.916,243,3,63.1,0.54
2025-12-29 15:51:39.966,244,4,45.6,0.53
2025-12-29 15:51:40.019,245,2,38.7,0.57
2025-12-29 15:51:40.066,246,2,49.7,0.53
2025-12-29 15:51:40.115,247,0,48.7,0.0
2025-12-29 15:51:40.164,248,3,39.6,0.67
2025-12-29 15:51:40.213,249,2,43.6,0.63
2025-12-29 15:51:40.254,250,3,45.8,0.52
2025-12-29 15:51:40.304,251,1,39.9,0.67
2025-12-29 15:51:40.358,252,2,37.7,0.57
2025-12-29 15:51:40.408,253,3,42.6,0.58
2025-12-29 15:51:40.460,254,1,32.0,0.82
2025-12-29 15:51:40.565,255,1,37.0,0.84
2025-12-29 15:51:40.614,256,1,42.5,0.82
2025-12-29 15:51:40.669,257,1,32.4,0.81
2025-12-29 15:51:40.724,258,1,38.7,0.81
2025-12-29 15:51:40.768,259,1,67.8,0.81
2025-12-29 15:51:40.810,260,2,44.4,0.63
2025-12-29 15:51:40.896,261,1,29.7,0.81
2025-12-29 15:51:41.031,262,2,25.9,0.65
2025-12-29 15:51:41.155,263,1,19.1,0.84
2025-12-29 15:51:41.226,264,1,44.7,0.79
2025-12-29 15:51:41.318,265,2,31.7,0.65
2025-12-29 15:51:41.426,266,3,26.0,0.56
2025-12-29 15:51:41.552,267,3,22.6,0.57
2025-12-29 15:51:41.640,268,5,30.0,0.63
2025-12-29 15:51:41.752,269,4,26.8,0.63
2025-12-29 15:51:41.873,270,3,38.7,0.57
2025-12-29 15:51:42.006,271,3,16.2,0.56
2025-12-29 15:51:42.086,272,1,32.9,0.53
2025-12-29 15:51:42.214,273,1,32.6,0.6
